Conference,Year,Filename,Title,Authors,Category,PDF_URL
IJCAI,2020,an_algorithm_for_multiattribute_diverse_matching__9c455ce2.pdf,An Algorithm for Multi-Attribute Diverse Matching,"Saba Ahmadi, Faez Ahmed, John P. Dickerson, Mark Fuge, Samir Khuller",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0001.pdf
IJCAI,2020,intention_progression_under_uncertainty__f02f4639.pdf,Intention Progression under Uncertainty,"Yuan Yao, Natasha Alechina, Brian Logan, John Thangarajah",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0002.pdf
IJCAI,2020,social_ranking_manipulability_for_the_cpmajority_banzhaf_and_lexicographic_excellence_solutions__dd090ab4.pdf,"Social Ranking Manipulability for the CP-Majority, Banzhaf and Lexicographic Excellence Solutions","Tahar Allouche, Bruno Escoffier, Stefano Moretti, Meltem Öztürk",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0003.pdf
IJCAI,2020,maximum_nash_welfare_and_other_stories_about_efx__510c0f55.pdf,Maximum Nash Welfare and Other Stories About EFX,"Georgios Amanatidis, Georgios Birmpas, Aris Filos-Ratsikas, Alexandros Hollender, Alexandros A. Voudouris",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0004.pdf
IJCAI,2020,speeding_up_incomplete_gdlbased_algorithms_for_multiagent_optimization_with_dense_local_utilities__052f5ec1.pdf,Speeding Up Incomplete GDL-based Algorithms for Multi-agent Optimization with Dense Local Utilities,"Yanchen Deng, Bo An",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0005.pdf
IJCAI,2020,almost_group_envyfree_allocation_of_indivisible_goods_and_chores__a393b7af.pdf,Almost Group Envy-free Allocation of Indivisible Goods and Chores,"Haris Aziz, Simon Rey",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0006.pdf
IJCAI,2020,uniform_welfare_guarantees_under_identical_subadditive_valuations__1f8666ef.pdf,Uniform Welfare Guarantees Under Identical Subadditive Valuations,"Siddharth Barman, Ranjani G. Sundaram",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0007.pdf
IJCAI,2020,biased_opinion_dynamics_when_the_devil_is_in_the_details__566bbc22.pdf,Biased Opinion Dynamics: When the Devil is in the Details,"Aris Anagnostopoulos, Luca Becchetti, Emilio Cruciani, Francesco Pasquale, Sara Rizzo",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0008.pdf
IJCAI,2020,formalizing_group_and_propagated_trust_in_multiagent_systems__07ef26f0.pdf,Formalizing Group and Propagated Trust in Multi-Agent Systems,"Nagat Drawel, Jamal Bentahar, Amine Laarej, Gaith Rjoub",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0009.pdf
IJCAI,2020,finegrained_view_on_bribery_for_group_identification__8721ab03.pdf,Fine-Grained View on Bribery for Group Identification,"Niclas Boehmer, Robert Bredereck, Dušan Knop, Junjie Luo",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0010.pdf
IJCAI,2020,evaluating_approvalbased_multiwinner_voting_in_terms_of_robustness_to_noise__eee6edf2.pdf,Evaluating Approval-Based Multiwinner Voting in Terms of Robustness to Noise,"Ioannis Caragiannis, Christos Kaklamanis, Nikos Karanikolas, George A. Krimpas",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0011.pdf
IJCAI,2020,decentralized_mcts_via_learned_teammate_models__f1c5a8bf.pdf,Decentralized MCTS via Learned Teammate Models,"Aleksander Czechowski, Frans A. Oliehoek",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0012.pdf
IJCAI,2020,on_the_complexity_of_winner_verification_and_candidate_winner_for_multiwinner_voting_rules__06cf2b4b.pdf,On the Complexity of Winner Verification and Candidate Winner for Multiwinner Voting Rules,"Chinmay Sonar, Palash Dey, Neeldhara Misra",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0013.pdf
IJCAI,2020,stable_roommate_problem_with_diversity_preferences__1bec4e43.pdf,Stable Roommate Problem with Diversity Preferences,"Niclas Boehmer, Edith Elkind",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0014.pdf
IJCAI,2020,strategic_campaign_management_in_apportionment_elections__f0bf4f57.pdf,Strategic Campaign Management in Apportionment Elections,"Robert Bredereck, Piotr Faliszewski, Michal Furdyna, Andrzej Kaczmarczyk, Martin Lackner",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0015.pdf
IJCAI,2020,concentration_of_distortion_the_value_of_extra_voters_in_randomized_social_choice__e9dccc19.pdf,Concentration of Distortion: The Value of Extra Voters in Randomized Social Choice,"Brandon Fain, William Fan, Kamesh Munagala",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0016.pdf
IJCAI,2020,assumeguarantee_synthesis_for_prompt_linear_temporal_logic__dc82edc0.pdf,Assume-Guarantee Synthesis for Prompt Linear Temporal Logic,"Nathanaël Fijalkow, Bastien Maubert, Aniello Murano, Moshe Vardi",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0017.pdf
IJCAI,2020,peerprediction_in_the_presence_of_outcome_dependent_lying_incentives__6381ec30.pdf,Peer-Prediction in the Presence of Outcome Dependent Lying Incentives,"Naman Goel, Aris Filos-Ratsikas, Boi Faltings",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0018.pdf
IJCAI,2020,proportionality_in_approvalbased_elections_with_a_variable_number_of_winners__7f4aa97a.pdf,Proportionality in Approval-Based Elections With a Variable Number of Winners,"Rupert Freeman, Anson Kahng, David M. Pennock",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0019.pdf
IJCAI,2020,flowbased_network_creation_games__0bff044e.pdf,Flow-Based Network Creation Games,"Hagen Echzell, Tobias Friedrich, Pascal Lenzner, Anna Melnichenko",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0020.pdf
IJCAI,2020,stable_matchings_with_diversity_constraints_affirmative_action_is_beyond_np__f71c2390.pdf,Stable Matchings with Diversity Constraints: Affirmative Action is beyond NP,"Jiehua Chen, Robert Ganian, Thekla Hamm",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0021.pdf
IJCAI,2020,mechanism_design_for_school_choice_with_soft_diversity_constraints__21fdba25.pdf,Mechanism Design for School Choice with Soft Diversity Constraints,"Haris Aziz, Serge Gaspers, Zhaohong Sun",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0022.pdf
IJCAI,2020,maximizing_welfare_with_incentiveaware_evaluation_mechanisms__b6d9d98d.pdf,Maximizing Welfare with Incentive-Aware Evaluation Mechanisms,"Nika Haghtalab, Nicole Immorlica, Brendan Lucier, Jack Z. Wang",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0023.pdf
IJCAI,2020,ethics_prosperity_and_society_moral_evaluation_using_virtue_ethics_and_utilitarianism__eb472886.pdf,"Ethics, Prosperity, and Society: Moral Evaluation Using Virtue Ethics and Utilitarianism","Aditya Hegde, Vibhav Agarwal, Shrisha Rao",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0024.pdf
IJCAI,2020,prophet_inequalities_for_bayesian_persuasion__7138a7bf.pdf,Prophet Inequalities for Bayesian Persuasion,"Niklas Hahn, Martin Hoefer, Rann Smorodinsky",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0025.pdf
IJCAI,2020,fair_division_of_time_multilayered_cake_cutting__b9ceb08c.pdf,Fair Division of Time: Multi-layered Cake Cutting,"Hadi Hosseini, Ayumi Igarashi, Andrew Searns",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0026.pdf
IJCAI,2020,wellstructured_committees__926e0cff.pdf,Well-Structured Committees,"Sushmita Gupta, Pallavi Jain, Saket Saurabh",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0027.pdf
IJCAI,2020,evaluating_committees_for_representative_democracies_the_distortion_and_beyond__ea5c970d.pdf,Evaluating Committees for Representative Democracies: the Distortion and Beyond,"Michał Jaworski, Piotr Skowron",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2020/0028.pdf
