Conference,Year,Filename,Title,Authors,Category,PDF_URL
NeurIPS,2020,a_graph_similarity_for_deep_learning__128768e3.pdf,A graph similarity for deep learning,Seongmin Ok,None,https://proceedings.neurips.cc/paper_files/paper/2020/file/0004d0b59e19461ff126e3a08a814c33-Paper.pdf
NeurIPS,2020,an_unsupervised_informationtheoretic_perceptual_quality_metric__91cdaeaa.pdf,An Unsupervised Information-Theoretic Perceptual Quality Metric,"Sangnie Bhardwaj, Ian Fischer, Johannes Ballé, Troy Chinen",None,https://proceedings.neurips.cc/paper_files/paper/2020/file/00482b9bed15a272730fcb590ffebddd-Paper.pdf
NeurIPS,2020,selfsupervised_multimodal_versatile_networks__9d41b0f4.pdf,Self-Supervised MultiModal Versatile Networks,"Jean-Baptiste Alayrac, Adria Recasens, Rosalia Schneider, Relja Arandjelović, Jason Ramapuram, Jeffrey De Fauw, Lucas Smaira, Sander Dieleman, Andrew Zisserman",None,https://proceedings.neurips.cc/paper_files/paper/2020/file/0060ef47b12160b9198302ebdb144dcf-Paper.pdf
NeurIPS,2020,benchmarking_deep_inverse_models_over_time_and_the_neuraladjoint_method__4fb5415e.pdf,"Benchmarking Deep Inverse Models over time, and the Neural-Adjoint method","Simiao Ren, Willie Padilla, Jordan Malof",None,https://proceedings.neurips.cc/paper_files/paper/2020/file/007ff380ee5ac49ffc34442f5c2a2b86-Paper.pdf
NeurIPS,2020,offpolicy_evaluation_and_learning_for_external_validity_under_a_covariate_shift__e0970df3.pdf,Off-Policy Evaluation and Learning for External Validity under a Covariate Shift,"Masatoshi Uehara, Masahiro Kato, Shota Yasui",None,https://proceedings.neurips.cc/paper_files/paper/2020/file/0084ae4bc24c0795d1e6a4f58444d39b-Paper.pdf
NeurIPS,2020,neural_methods_for_pointwise_dependency_estimation__4f200080.pdf,Neural Methods for Point-wise Dependency Estimation,"Yao-Hung Hubert Tsai, Han Zhao, Makoto Yamada, Louis-Philippe Morency, Russ R. Salakhutdinov",None,https://proceedings.neurips.cc/paper_files/paper/2020/file/00a03ec6533ca7f5c644d198d815329c-Paper.pdf
NeurIPS,2020,fast_and_flexible_temporal_point_processes_with_triangular_maps__80306563.pdf,Fast and Flexible Temporal Point Processes with Triangular Maps,"Oleksandr Shchur, Nicholas Gao, Marin Biloš, Stephan Günnemann",None,https://proceedings.neurips.cc/paper_files/paper/2020/file/00ac8ed3b4327bdd4ebbebcb2ba10a00-Paper.pdf
NeurIPS,2020,backpropagating_linearly_improves_transferability_of_adversarial_examples__22a36ba1.pdf,Backpropagating Linearly Improves Transferability of Adversarial Examples,"Yiwen Guo, Qizhang Li, Hao Chen",None,https://proceedings.neurips.cc/paper_files/paper/2020/file/00e26af6ac3b1c1c49d7c3d79c60d000-Paper.pdf
NeurIPS,2020,pyglove_symbolic_programming_for_automated_machine_learning__72fb91ad.pdf,PyGlove: Symbolic Programming for Automated Machine Learning,"Daiyi Peng, Xuanyi Dong, Esteban Real, Mingxing Tan, Yifeng Lu, Gabriel Bender, Hanxiao Liu, Adam Kraft, Chen Liang, Quoc Le",None,https://proceedings.neurips.cc/paper_files/paper/2020/file/012a91467f210472fab4e11359bbfef6-Paper.pdf
NeurIPS,2020,fourier_sparse_leverage_scores_and_approximate_kernel_learning__ae17e533.pdf,Fourier Sparse Leverage Scores and Approximate Kernel Learning,"Tamas Erdelyi, Cameron Musco, Christopher Musco",None,https://proceedings.neurips.cc/paper_files/paper/2020/file/012d9fe15b2493f21902cd55603382ec-Paper.pdf
