Conference,Year,Filename,Title,Authors,Category,PDF_URL
ICLR,2022,a_theory_of_tournament_representations__199889fa.pdf,A Theory of Tournament Representations,"Arun Rajkumar, Vishnu Veerathu, Abdul Bakey Mir",Accept (Poster),https://openreview.net/pdf?id=zzk231Ms1Ih
ICLR,2022,revisiting_design_choices_in_offline_model_based_reinforcement_learning__44af9b07.pdf,Revisiting Design Choices in Offline Model Based Reinforcement Learning,"Cong Lu, Philip Ball, Jack Parker-Holder, Michael Osborne, Stephen J. Roberts",Accept (Spotlight),https://openreview.net/pdf?id=zz9hXVhf40
ICLR,2022,selfjoint_supervised_learning__d48e70dd.pdf,Self-Joint Supervised Learning,"Navid Kardan, Mubarak Shah, Mitch Hill",Accept (Poster),https://openreview.net/pdf?id=zuqcmNVK4c2
ICLR,2022,on_the_benefits_of_maximum_likelihood_estimation_for_regression_and_forecasting__4e9cff26.pdf,On the benefits of maximum likelihood estimation for Regression and Forecasting,"Pranjal Awasthi, Abhimanyu Das, Rajat Sen, Ananda Theertha Suresh",Accept (Poster),https://openreview.net/pdf?id=zrW-LVXj2k1
ICLR,2022,supervision_exists_everywhere_a_data_efficient_contrastive_languageimage_pretraining_paradigm__b4d0054a.pdf,Supervision Exists Everywhere: A Data Efficient Contrastive Language-Image  Pre-training Paradigm,"Yangguang Li, Feng Liang, Lichen Zhao, Yufeng Cui, Wanli Ouyang, Jing Shao, Fengwei Yu, Junjie Yan",Accept (Poster),https://openreview.net/pdf?id=zq1iJkNk3uN
ICLR,2022,generalized_rectifier_wavelet_covariance_models_for_texture_synthesis__5682858c.pdf,Generalized rectifier wavelet covariance models for texture synthesis,"Antoine Brochard, Sixin Zhang, Stéphane Mallat",Accept (Poster),https://openreview.net/pdf?id=ziRLU3Y2PN_
ICLR,2022,how_much_can_clip_benefit_visionandlanguage_tasks__bc5c3f15.pdf,How Much Can CLIP Benefit Vision-and-Language Tasks?,"Sheng Shen, Liunian Harold Li, Hao Tan, Mohit Bansal, Anna Rohrbach, Kai-Wei Chang, Zhewei Yao, Kurt Keutzer",Accept (Poster),https://openreview.net/pdf?id=zf_Ll3HZWgy
ICLR,2022,on_the_relation_between_statistical_learning_and_perceptual_distances__a738759c.pdf,On the relation between statistical learning and perceptual distances,"Alexander Hepburn, Valero Laparra, Raul Santos-Rodriguez, Johannes Ballé, Jesus Malo",Accept (Spotlight),https://openreview.net/pdf?id=zXM0b4hi5_B
ICLR,2022,confess_a_framework_for_single_source_crossdomain_fewshot_learning__090bf028.pdf,ConFeSS: A Framework for Single Source Cross-Domain Few-Shot Learning,"Debasmit Das, Sungrack Yun, Fatih Porikli",Accept (Poster),https://openreview.net/pdf?id=zRJu6mU2BaE
ICLR,2022,learning_to_annotate_part_segmentation_with_gradient_matching__f5efefe1.pdf,Learning to Annotate Part Segmentation with Gradient Matching,"Yu Yang, Xiaotian Cheng, Hakan Bilen, Xiangyang Ji",Accept (Poster),https://openreview.net/pdf?id=zNR43c03lRy
