Conference,Year,Filename,Title,Authors,Category,PDF_URL
IJCAI,2019,flexible_representative_democracy_an_introduction_with_binary_issues__78e6e700.pdf,Flexible Representative Democracy: An Introduction with Binary Issues,"Ben Abramowitz, Nicholas Mattei",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2019/0001.pdf
IJCAI,2019,portioning_using_ordinal_preferences_fairness_and_efficiency__8949dcd6.pdf,Portioning Using Ordinal Preferences: Fairness and Efficiency,"Stéphane Airiau, Haris Aziz, Ioannis Caragiannis, Justin Kruger, Jérôme Lang, Dominik Peters",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2019/0002.pdf
IJCAI,2019,an_efficient_algorithm_for_skeptical_preferred_acceptance_in_dynamic_argumentation_frameworks__e9c3cfc8.pdf,An Efficient Algorithm for Skeptical Preferred Acceptance in Dynamic Argumentation Frameworks,"Gianvincenzo Alfano, Sergio Greco, Francesco Parisi",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2019/0003.pdf
IJCAI,2019,strategic_signaling_for_selling_information_goods__69c14f16.pdf,Strategic Signaling for Selling Information Goods,"Shani Alkoby, David Sarne, Igal Milchtaich",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2019/0004.pdf
IJCAI,2019,probabilistic_strategy_logic__817d179d.pdf,Probabilistic Strategy Logic,"Benjamin Aminof, Marta Kwiatkowska, Bastien Maubert, Aniello Murano, Sasha Rubin",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2019/0005.pdf
IJCAI,2019,multiagent_pathfinding_with_continuous_time__a909f7bd.pdf,Multi-Agent Pathfinding with Continuous Time,"Anton Andreychuk, Konstantin Yakovlev, Dor Atzmon, Roni Stern",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2019/0006.pdf
IJCAI,2019,weighted_maxmin_fair_share_allocation_of_indivisible_chores__9aaa0345.pdf,Weighted Maxmin Fair Share Allocation of Indivisible Chores,"Haris Aziz, Hau Chan, Bo Li",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2019/0007.pdf
IJCAI,2019,fair_allocation_of_indivisible_goods_and_chores__0d4fd8b7.pdf,Fair Allocation of Indivisible Goods and Chores,"Haris Aziz, Ioannis Caragiannis, Ayumi Igarashi, Toby Walsh",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2019/0008.pdf
IJCAI,2019,strategyproof_and_approximately_maxmin_fair_share_allocation_of_chores__d10ee234.pdf,Strategyproof and Approximately Maxmin Fair Share Allocation of Chores,"Haris Aziz, Bo Li, Xiaowei Wu",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2019/0009.pdf
IJCAI,2019,stable_and_envyfree_partitions_in_hedonic_games__85099672.pdf,Stable and Envy-free Partitions in Hedonic Games,"Nathanaël Barrot, Makoto Yokoo",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2019/0010.pdf
IJCAI,2019,how_hard_is_the_manipulative_design_of_scoring_systems__26cf61e5.pdf,How Hard Is the Manipulative Design of Scoring Systems?,"Dorothea Baumeister, Tobias Hogrebe",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2019/0011.pdf
IJCAI,2019,the_price_of_fairness_for_indivisible_goods__49eb2161.pdf,The Price of Fairness for Indivisible Goods,"Xiaohui Bei, Xinhang Lu, Pasin Manurangsi, Warut Suksompong",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2019/0012.pdf
