Conference,Year,Filename,Title,Authors,Category,PDF_URL
NeurIPS,2015,quartz_randomized_dual_coordinate_ascent_with_arbitrary_sampling__90100782.pdf,Quartz: Randomized Dual Coordinate Ascent with Arbitrary Sampling,"Zheng Qu, Peter Richtarik, Tong Zhang",None,https://proceedings.neurips.cc/paper_files/paper/2015/file/01f78be6f7cad02658508fe4616098a9-Paper.pdf
NeurIPS,2015,associative_memory_via_a_sparse_recovery_model__cc09b12b.pdf,Associative Memory via a Sparse Recovery Model,"Arya Mazumdar, Ankit Singh Rawat",None,https://proceedings.neurips.cc/paper_files/paper/2015/file/020c8bfac8de160d4c5543b96d1fdede-Paper.pdf
NeurIPS,2015,policy_gradient_for_coherent_risk_measures__50ef2e95.pdf,Policy Gradient for Coherent Risk Measures,"Aviv Tamar, Yinlam Chow, Mohammad Ghavamzadeh, Shie Mannor",None,https://proceedings.neurips.cc/paper_files/paper/2015/file/024d7f84fff11dd7e8d9c510137a2381-Paper.pdf
NeurIPS,2015,a_fast_universal_algorithm_to_learn_parametric_nonlinear_embeddings__ab6158dd.pdf,"A fast, universal algorithm to learn parametric nonlinear embeddings","Miguel A. Carreira-Perpinan, Max Vladymyrov",None,https://proceedings.neurips.cc/paper_files/paper/2015/file/02522a2b2726fb0a03bb19f2d8d9524d-Paper.pdf
NeurIPS,2015,stochastic_online_greedy_learning_with_semibandit_feedbacks__b0e1a90c.pdf,Stochastic Online Greedy Learning with Semi-bandit Feedbacks,"Tian Lin, Jian Li, Wei Chen",None,https://proceedings.neurips.cc/paper_files/paper/2015/file/0266e33d3f546cb5436a10798e657d97-Paper.pdf
NeurIPS,2015,submodboxes_nearoptimal_search_for_a_set_of_diverse_object_proposals__30872ec5.pdf,SubmodBoxes: Near-Optimal Search for a Set of Diverse Object Proposals,"Qing Sun, Dhruv Batra",None,https://proceedings.neurips.cc/paper_files/paper/2015/file/02a32ad2669e6fe298e607fe7cc0e1a0-Paper.pdf
NeurIPS,2015,robust_portfolio_optimization__6a4e6a33.pdf,Robust Portfolio Optimization,"Huitong Qiu, Fang Han, Han Liu, Brian Caffo",None,https://proceedings.neurips.cc/paper_files/paper/2015/file/02e74f10e0327ad868d138f2b4fdd6f0-Paper.pdf
NeurIPS,2015,topk_multiclass_svm__3f34af46.pdf,Top-k Multiclass SVM,"Maksim Lapin, Matthias Hein, Bernt Schiele",None,https://proceedings.neurips.cc/paper_files/paper/2015/file/0336dcbab05b9d5ad24f4333c7658a0e-Paper.pdf
NeurIPS,2015,less_is_more_nyström_computational_regularization__e5c562d2.pdf,Less is More: Nyström Computational Regularization,"Alessandro Rudi, Raffaello Camoriano, Lorenzo Rosasco",None,https://proceedings.neurips.cc/paper_files/paper/2015/file/03e0704b5690a2dee1861dc3ad3316c9-Paper.pdf
NeurIPS,2015,parallel_recursive_bestfirst_andor_search_for_exact_map_inference_in_graphical_models__f6a833ed.pdf,Parallel Recursive Best-First AND/OR Search for Exact MAP Inference in Graphical Models,"Akihiro Kishimoto, Radu Marinescu, Adi Botea",None,https://proceedings.neurips.cc/paper_files/paper/2015/file/04ecb1fa28506ccb6f72b12c0245ddbc-Paper.pdf
