Conference,Year,Filename,Title,Authors,Category,PDF_URL
IJCAI,2017,swift_logic_for_big_data_and_knowledge_graphs__fa2c4d8e.pdf,Swift Logic for Big Data and Knowledge Graphs,"Luigi Bellomarini, Georg Gottlob, Andreas Pieris, Emanuel Sallinger",Invited Speakers,https://www.ijcai.org/proceedings/2017/0001.pdf
IJCAI,2017,deep_learning_at_alibaba__27617086.pdf,Deep Learning at Alibaba,Rong Jin,Invited Speakers,https://www.ijcai.org/proceedings/2017/0002.pdf
IJCAI,2017,from_automation_to_autonomous_systems_a_legal_phenomenology_with_problems_of_accountability__576f5f59.pdf,From Automation to Autonomous Systems: A Legal Phenomenology with Problems of Accountability,Ugo Pagallo,Invited Speakers,https://www.ijcai.org/proceedings/2017/0003.pdf
IJCAI,2017,superhuman_ai_for_strategic_reasoning_beating_top_pros_in_headsup_nolimit_texas_holdem__1affd5f9.pdf,Super-Human AI for Strategic Reasoning: Beating Top Pros in Heads-Up No-Limit Texas Hold'em,Tuomas Sandholm,Invited Speakers,https://www.ijcai.org/proceedings/2017/0004.pdf
IJCAI,2017,proactive_and_reactive_coordination_of_nondedicated_agent_teams_operating_in_uncertain_environments__bc753d43.pdf,Proactive and Reactive Coordination of Non-dedicated Agent Teams Operating in Uncertain Environments,"Pritee Agrawal, Pradeep Varakantham",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2017/0005.pdf
IJCAI,2017,diverse_weighted_bipartite_bmatching__046f2631.pdf,Diverse Weighted Bipartite b-Matching,"Faez Ahmed, John P. Dickerson, Mark Fuge",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2017/0006.pdf
IJCAI,2017,pure_nash_equilibria_in_online_fair_division__a4aa16dd.pdf,Pure Nash Equilibria in Online Fair Division,"Martin Aleksandrov, Toby Walsh",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2017/0007.pdf
IJCAI,2017,efficient_computation_of_extensions_for_dynamic_abstract_argumentation_frameworks_an_incremental_approach__88672b53.pdf,Efficient Computation of Extensions for Dynamic Abstract Argumentation Frameworks: An Incremental Approach,"Gianvincenzo Alfano, Sergio Greco, Francesco Parisi",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2017/0008.pdf
IJCAI,2017,acceptability_semantics_for_weighted_argumentation_frameworks__743b74a1.pdf,Acceptability Semantics for Weighted Argumentation Frameworks,"Leila Amgoud, Jonathan Ben-Naim, Dragan Doder, Srdjan Vesic",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2017/0009.pdf
IJCAI,2017,measuring_the_intensity_of_attacks_in_argumentation_graphs_with_shapley_value__c7b6a95e.pdf,Measuring the Intensity of Attacks in Argumentation Graphs with Shapley Value,"Leila Amgoud, Jonathan Ben-Naim, Srdjan Vesic",Agent-based and Multi-agent Systems,https://www.ijcai.org/proceedings/2017/0010.pdf
