Conference,Year,Filename,Title,Authors,Category,PDF_URL
ICLR,2019,learning_multilevel_hierarchies_with_hindsight__71347032.pdf,Learning Multi-Level Hierarchies with Hindsight,"Andrew Levy, George Konidaris, Robert Platt, Kate Saenko",Accept (Poster),https://openreview.net/pdf?id=ryzECoAcY7
ICLR,2019,deep_layers_as_stochastic_solvers__59e8ceab.pdf,Deep Layers as Stochastic Solvers,"Adel Bibi, Bernard Ghanem, Vladlen Koltun, Rene Ranftl",Accept (Poster),https://openreview.net/pdf?id=ryxxCiRqYX
ICLR,2019,instagan_instanceaware_imagetoimage_translation__fe3be889.pdf,InstaGAN: Instance-aware Image-to-Image Translation,"Sangwoo Mo, Minsu Cho, Jinwoo Shin",Accept (Poster),https://openreview.net/pdf?id=ryxwJhC9YX
ICLR,2019,globaltolocal_memory_pointer_networks_for_taskoriented_dialogue__3282f7f3.pdf,Global-to-local Memory Pointer Networks for Task-Oriented Dialogue,"Chien-Sheng Wu, Richard Socher, Caiming Xiong",Accept (Poster),https://openreview.net/pdf?id=ryxnHhRqFm
ICLR,2019,antisymmetricrnn_a_dynamical_system_view_on_recurrent_neural_networks__b6b80927.pdf,AntisymmetricRNN: A Dynamical System View on Recurrent Neural Networks,"Bo Chang, Minmin Chen, Eldad Haber, Ed H. Chi",Accept (Poster),https://openreview.net/pdf?id=ryxepo0cFX
ICLR,2019,revealing_interpretable_object_representations_from_human_behavior__8159ae65.pdf,Revealing interpretable object representations from human behavior,"Charles Y. Zheng, Francisco Pereira, Chris I. Baker, Martin N. Hebart",Accept (Poster),https://openreview.net/pdf?id=ryxSrhC9KX
ICLR,2019,snas_stochastic_neural_architecture_search__9e4f9713.pdf,SNAS: stochastic neural architecture search,"Sirui Xie, Hehui Zheng, Chunxiao Liu, Liang Lin",Accept (Poster),https://openreview.net/pdf?id=rylqooRqK7
ICLR,2019,deep_decoder_concise_image_representations_from_untrained_nonconvolutional_networks__6b3f6599.pdf,Deep Decoder: Concise Image Representations from Untrained Non-convolutional Networks,"Reinhard Heckel, Paul Hand",Accept (Poster),https://openreview.net/pdf?id=rylV-2C9KQ
ICLR,2019,learning_to_infer_and_execute_3d_shape_programs__897ca1a0.pdf,Learning to Infer and Execute 3D Shape Programs,"Yonglong Tian, Andrew Luo, Xingyuan Sun, Kevin Ellis, William T. Freeman, Joshua B. Tenenbaum, Jiajun Wu",Accept (Poster),https://openreview.net/pdf?id=rylNH20qFQ
ICLR,2019,a2bcd_asynchronous_acceleration_with_optimal_complexity__28690b40.pdf,A2BCD: Asynchronous Acceleration with Optimal Complexity,"Robert Hannah, Fei Feng, Wotao Yin",Accept (Poster),https://openreview.net/pdf?id=rylIAsCqYm
ICLR,2019,lagging_inference_networks_and_posterior_collapse_in_variational_autoencoders__d7b0978d.pdf,Lagging Inference Networks and Posterior Collapse in Variational Autoencoders,"Junxian He, Daniel Spokoyny, Graham Neubig, Taylor Berg-Kirkpatrick",Accept (Poster),https://openreview.net/pdf?id=rylDfnCqF7
