Conference,Year,Filename,Title,Authors,Category,PDF_URL
ICLR,2014,multilingual_distributed_representations_without_word_alignment__4f25b1d6.pdf,Multilingual Distributed Representations without Word Alignment,Unknown,oral,https://arxiv.org/pdf/1312.6173.pdf
ICLR,2014,zeroshot_learning_by_convex_combination_of_semantic_embeddings__2abd79fd.pdf,Zero-Shot Learning by Convex Combination of Semantic Embeddings,Unknown,oral,https://arxiv.org/pdf/1312.5650.pdf
ICLR,2014,exact_solutions_to_the_nonlinear_dynamics_of_learning_in_deep_linear_neural_networks__c7c32496.pdf,Exact solutions to the nonlinear dynamics of learning in deep linear neural networks,Andrew M. Saxe; James L. McClelland; Surya Ganguli,oral,https://arxiv.org/pdf/1312.6120.pdf
ICLR,2014,revisiting_natural_gradient_for_deep_networks__b6b5b091.pdf,Revisiting Natural Gradient for Deep Networks,Razvan Pascanu; Yoshua Bengio,oral,https://arxiv.org/pdf/1301.3584.pdf
ICLR,2014,the_return_of_adaboostmh_multiclass_hamming_trees__2a641e6b.pdf,The return of AdaBoost.MH: multi-class Hamming trees,Balázs Kégl,poster,https://arxiv.org/pdf/1312.6086.pdf
ICLR,2014,neuronal_synchrony_in_complexvalued_deep_networks__87f4ae33.pdf,Neuronal Synchrony in Complex-Valued Deep Networks,David P. Reichert; Thomas Serre,poster,https://arxiv.org/pdf/1312.6115.pdf
ICLR,2014,bounding_the_test_loglikelihood_of_generative_models__a958232a.pdf,Bounding the Test Log-Likelihood of Generative Models,Yoshua Bengio; Li Yao; KyungHyun Cho,poster,https://arxiv.org/pdf/1311.6184.pdf
ICLR,2014,a_generative_productoffilters_model_of_audio__6012e26c.pdf,A Generative Product-of-Filters Model of Audio,Dawen Liang; Mathew D. Hoffman; Gautham Mysore,poster,https://arxiv.org/pdf/1312.5857.pdf
ICLR,2014,how_to_construct_deep_recurrent_neural_networks__37d74599.pdf,How to Construct Deep Recurrent Neural Networks,Razvan Pascanu; Caglar Gulcehre; Kyunghyun Cho; Yoshua Bengio,poster,https://arxiv.org/pdf/1312.6026.pdf
ICLR,2014,zeroshot_learning_and_clustering_for_semantic_utterance_classification__79a8b487.pdf,Zero-Shot Learning and Clustering for Semantic Utterance Classification,Yann N. Dauphin; Gokhan Tur; Dilek Hakkani-Tur; Larry Heck,poster,https://arxiv.org/pdf/1401.0509.pdf
ICLR,2014,an_empirical_analysis_of_dropout_in_piecewise_linear_networks__eaa4cee9.pdf,An empirical analysis of dropout in piecewise linear networks,David Warde-Farley; Ian J. Goodfellow; Aaron Courville; Yoshua Bengio,poster,https://arxiv.org/pdf/1312.6197.pdf
ICLR,2014,an_empirical_investigation_of_catastrophic_forgeting_in_gradientbased_neural_networks__1746ad24.pdf,An Empirical Investigation of Catastrophic Forgeting in Gradient-Based Neural Networks,Unknown,poster,https://arxiv.org/pdf/1312.6211.pdf
ICLR,2014,on_fast_dropout_and_its_applicability_to_recurrent_networks__253d2dcb.pdf,On Fast Dropout and its Applicability to Recurrent Networks,Unknown,poster,https://arxiv.org/pdf/1311.0701.pdf
