Conference,Year,Filename,Title,Authors,Category,PDF_URL
AAAI,2015,sparse_deep_stacking_network_for_image_classification__1f0222ef.pdf,Sparse Deep Stacking Network for Image Classification,"Jun Li, Heyou Chang, Jian Yang",Papers,https://cdn.aaai.org/ojs/9786/9786-13-13314-1-2-20201228.pdf
AAAI,2015,robust_subspace_clustering_via_thresholding_ridge_regression__b58aa1f1.pdf,Robust Subspace Clustering via Thresholding Ridge Regression,"Xi Peng, Zhang Yi, Huajin Tang",Papers,https://cdn.aaai.org/ojs/9788/9788-13-13316-1-2-20201228.pdf
AAAI,2015,automatic_topic_discovery_for_multiobject_tracking__51adfadb.pdf,Automatic Topic Discovery for Multi-Object Tracking,"Wenhan Luo, Björn Stenger, Xiaowei Zhao, Tae-Kyun Kim",Papers,https://cdn.aaai.org/ojs/9789/9789-13-13317-1-2-20201228.pdf
AAAI,2015,learning_predictable_and_discriminative_attributes_for_visual_recognition__dbf3bb59.pdf,Learning Predictable and Discriminative Attributes for Visual Recognition,"Yuchen Guo, Guiguang Ding, Xiaoming Jin, Jianmin Wang",Papers,https://cdn.aaai.org/ojs/9792/9792-13-13320-1-2-20201228.pdf
AAAI,2015,learning_to_describe_video_with_weak_supervision_by_exploiting_negative_sentential_information__8b3d6bcc.pdf,Learning to Describe Video with Weak Supervision by Exploiting Negative Sentential Information,"Haonan Yu, Jeffrey Siskind",Papers,https://cdn.aaai.org/ojs/9790/9790-13-13318-1-2-20201228.pdf
AAAI,2015,multiview_point_registration_via_alternating_optimization__08476e80.pdf,Multi-View Point Registration via Alternating Optimization,"Junchi Yan, Jun Wang, Hongyuan Zha, Xiaokang Yang, Stephen Chu",Papers,https://cdn.aaai.org/ojs/9791/9791-13-13319-1-2-20201228.pdf
AAAI,2015,a_bayesian_approach_to_perceptual_3d_objectpart_decomposition_using_skeletonbased_representations__ec637cb1.pdf,A Bayesian Approach to Perceptual 3D Object-Part Decomposition Using Skeleton-Based Representations,"Tarek El-Gaaly, Vicky Froyen, Ahmed Elgammal, Jacob Feldman, Manish Singh",Papers,https://cdn.aaai.org/ojs/9793/9793-13-13321-1-2-20201228.pdf
AAAI,2015,building_effective_representations_for_sketch_recognition__bea2c204.pdf,Building Effective Representations for Sketch Recognition,"Jun Guo, Changhu Wang, Hongyang Chao",Papers,https://cdn.aaai.org/ojs/9794/9794-13-13322-1-2-20201228.pdf
AAAI,2015,deep_representation_learning_with_target_coding__e1c06434.pdf,Deep Representation Learning with Target Coding,"Shuo Yang, Ping Luo, Chen Change Loy, Kenneth W. Shum, Xiaoou Tang",Papers,https://cdn.aaai.org/ojs/9796/9796-13-13324-1-2-20201228.pdf
AAAI,2015,learning_face_hallucination_in_the_wild__7dc7e04b.pdf,Learning Face Hallucination in the Wild,"Erjin Zhou, Haoqiang Fan, Zhimin Cao, Yuning Jiang, Qi Yin",Papers,https://cdn.aaai.org/ojs/9795/9795-13-13323-1-2-20201228.pdf
