Conference,Year,Filename,Title,Authors,Category,PDF_URL
NeurIPS,2014,from_stochastic_mixability_to_fast_rates__ac4998cf.pdf,From Stochastic Mixability to Fast Rates,"Nishant A Mehta, Robert C. Williamson",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/002302d5a1c66195b6981e33e38df11d-Paper.pdf
NeurIPS,2014,active_regression_by_stratification__51b8a372.pdf,Active Regression by Stratification,"Sivan Sabato, Remi Munos",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/014b0027decf8737e4c1242be3054307-Paper.pdf
NeurIPS,2014,multistep_stochastic_admm_in_high_dimensions_applications_to_sparse_optimization_and_matrix_decomposition__8240ce3a.pdf,Multi-Step Stochastic ADMM in High Dimensions: Applications to Sparse Optimization and Matrix Decomposition,"Hanie Sedghi, Anima Anandkumar, Edmond Jonckheere",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/0197ff74daa1c383cf9f4e190020f5c4-Paper.pdf
NeurIPS,2014,spatiotemporal_representations_of_uncertainty_in_spiking_neural_networks__d8ad0051.pdf,Spatio-temporal Representations of Uncertainty in Spiking Neural Networks,"Cristina Savin, Sophie Denève",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/02a12643ae21d984b93c9df82a9d2152-Paper.pdf
NeurIPS,2014,biclustering_using_message_passing__b13dbf0e.pdf,Biclustering Using Message Passing,"Luke O'Connor, Soheil Feizi",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/03bc99773b4d3aa3cac5b59ce24d8afd-Paper.pdf
NeurIPS,2014,identifying_and_attacking_the_saddle_point_problem_in_highdimensional_nonconvex_optimization__cc6ead98.pdf,Identifying and attacking the saddle point problem in high-dimensional non-convex optimization,"Yann N. Dauphin, Razvan Pascanu, Caglar Gulcehre, Kyunghyun Cho, Surya Ganguli, Yoshua Bengio",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/04192426585542c54b96ba14445be996-Paper.pdf
NeurIPS,2014,clustered_factor_analysis_of_multineuronal_spike_data__9645823d.pdf,Clustered factor analysis of multineuronal spike data,"Lars Buesing, Timothy A Machado, John P. Cunningham, Liam Paninski",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/047f66ae639d534aad092409f428e130-Paper.pdf
NeurIPS,2014,betanegative_binomial_process_and_exchangeable_random_partitions_for_mixedmembership_modeling__195d8bb4.pdf,Beta-Negative Binomial Process and Exchangeable ￼Random Partitions for Mixed-Membership Modeling,Mingyuan Zhou,None,https://proceedings.neurips.cc/paper_files/paper/2014/file/050a402944ba50e4ffc727ce02cfb403-Paper.pdf
NeurIPS,2014,gaussian_process_volatility_model__4cfbb716.pdf,Gaussian Process Volatility Model,"Yue Wu, José Miguel Hernández-Lobato, Zoubin Ghahramani",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/0525ce70d439c1ddeadc8277ca151195-Paper.pdf
NeurIPS,2014,distributed_estimation_information_loss_and_exponential_families__4eb1eb9c.pdf,"Distributed Estimation, Information Loss and Exponential Families","Qiang Liu, Alex Ihler",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/056d7ac16aa3fc9dc241a20cfb56539c-Paper.pdf
NeurIPS,2014,coneconstrained_principal_component_analysis__533cef1c.pdf,Cone-Constrained Principal Component Analysis,"Yash Deshpande, Andrea Montanari, Emile Richard",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/05a3e71d36f5c05318c0f70a6b7c485f-Paper.pdf
NeurIPS,2014,dynamic_rank_factor_model_for_text_streams__ff5a5313.pdf,Dynamic Rank Factor Model for Text Streams,"Shaobo Han, Lin Du, Esther Salazar, Lawrence Carin",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/0673011fbdc464f51b05897b7db2d151-Paper.pdf
NeurIPS,2014,online_combinatorial_optimization_with_stochastic_decision_sets_and_adversarial_losses__5af3bbe4.pdf,Online combinatorial optimization with stochastic decision sets and adversarial losses,"Gergely Neu, Michal Valko",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/06da2cfb2088f776d522b5cdafe677ab-Paper.pdf
NeurIPS,2014,magnitudesensitive_preference_formation__3fb0a593.pdf,Magnitude-sensitive preference formation`,"Nisheeth Srivastava, Ed Vul, Paul R. Schrater",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/06ead039a193550d1d1d8c4b7f8124ee-Paper.pdf
NeurIPS,2014,learning_convolution_filters_for_inverse_covariance_estimation_of_neural_network_connectivity__78a319d9.pdf,Learning convolution filters for inverse covariance estimation of neural network connectivity,George Mohler,None,https://proceedings.neurips.cc/paper_files/paper/2014/file/06f714eca850a0799089c8e9f076ed7b-Paper.pdf
NeurIPS,2014,sparse_pca_via_covariance_thresholding__033a4b05.pdf,Sparse PCA via Covariance Thresholding,"Yash Deshpande, Andrea Montanari",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/07a45842fcab1f6116c50549a437c254-Paper.pdf
NeurIPS,2014,online_optimization_for_maxnorm_regularization__6410274f.pdf,Online Optimization for Max-Norm Regularization,"Jie Shen, Huan Xu, Ping Li",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/08211bbb6d687bff251342162c6a5f84-Paper.pdf
NeurIPS,2014,optimizing_energy_production_using_policy_search_and_predictive_state_representations__117bbafd.pdf,Optimizing Energy Production Using Policy Search and Predictive State Representations,"Yuri Grinberg, Doina Precup, Michel Gendreau",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/0942e5741531db4483d0cc9d6b83ace2-Paper.pdf
NeurIPS,2014,dependent_nonparametric_trees_for_dynamic_hierarchical_clustering__fe271a3b.pdf,Dependent nonparametric trees for dynamic hierarchical clustering,"Kumar Avinava Dubey, Qirong Ho, Sinead A Williamson, Eric P Xing",None,https://proceedings.neurips.cc/paper_files/paper/2014/file/096e2c25cfb42668e439dfc0162b2520-Paper.pdf
