Conference,Year,Filename,Title,Authors,Category,PDF_URL
ICML,2015,stochastic_optimization_with_importance_sampling_for_regularized_loss_minimization__ceda6207.pdf,Stochastic Optimization with Importance Sampling for Regularized Loss Minimization,"Peilin Zhao, Tong Zhang",None,http://proceedings.mlr.press/v37/zhaoa15.pdf
ICML,2015,approval_voting_and_incentives_in_crowdsourcing__c7105174.pdf,Approval Voting and Incentives in Crowdsourcing,"Nihar Shah, Dengyong Zhou, Yuval Peres",None,http://proceedings.mlr.press/v37/shaha15.pdf
ICML,2015,a_low_variance_consistent_test_of_relative_dependency__e87f94ff.pdf,A low variance consistent test of relative dependency,"Wacha Bounliphone, Arthur Gretton, Arthur Tenenhaus, Matthew Blaschko",None,http://proceedings.mlr.press/v37/bounliphone15.pdf
ICML,2015,an_aligned_subtree_kernel_for_weighted_graphs__bf30df54.pdf,An Aligned Subtree Kernel for Weighted Graphs,"Lu Bai, Luca Rossi, Zhihong Zhang, Edwin Hancock",None,http://proceedings.mlr.press/v37/bai15.pdf
ICML,2015,spectral_clustering_via_the_power_method__provably__a11c53fe.pdf,Spectral Clustering via the Power Method - Provably,"Christos Boutsidis, Prabhanjan Kambadur, Alex Gittens",None,http://proceedings.mlr.press/v37/boutsidis15.pdf
ICML,2015,information_geometry_and_minimum_description_length_networks__2cdb1b64.pdf,Information Geometry and Minimum Description Length Networks,"Ke Sun, Jun Wang, Alexandros Kalousis, Stephan Marchand-Maillet",None,http://proceedings.mlr.press/v37/suna15.pdf
ICML,2015,efficient_training_of_lda_on_a_gpu_by_meanformode_estimation__5bbf370a.pdf,Efficient Training of LDA on a GPU by Mean-for-Mode Estimation,"Jean-Baptiste Tristan, Joseph Tassarotti, Guy Steele",None,http://proceedings.mlr.press/v37/tristan15.pdf
ICML,2015,adaptive_stochastic_alternating_direction_method_of_multipliers__074d925c.pdf,Adaptive Stochastic Alternating Direction Method of Multipliers,"Peilin Zhao, Jinwei Yang, Tong Zhang, Ping Li",None,http://proceedings.mlr.press/v37/zhaob15.pdf
ICML,2015,a_lower_bound_for_the_optimization_of_finite_sums__1887f52b.pdf,A Lower Bound for the Optimization of Finite Sums,"Alekh Agarwal, Leon Bottou",None,http://proceedings.mlr.press/v37/agarwal15.pdf
ICML,2015,learning_word_representations_with_hierarchical_sparse_coding__ae5636ea.pdf,Learning Word Representations with Hierarchical Sparse Coding,"Dani Yogatama, Manaal Faruqui, Chris Dyer, Noah Smith",None,http://proceedings.mlr.press/v37/yogatama15.pdf
ICML,2015,learning_transferable_features_with_deep_adaptation_networks__90053226.pdf,Learning Transferable Features with Deep Adaptation Networks,"Mingsheng Long, Yue Cao, Jianmin Wang, Michael Jordan",None,http://proceedings.mlr.press/v37/long15.pdf
ICML,2015,robust_partially_observable_markov_decision_process__99d33c27.pdf,Robust partially observable Markov decision process,Takayuki Osogami,None,http://proceedings.mlr.press/v37/osogami15.pdf
ICML,2015,on_the_relationship_between_sumproduct_networks_and_bayesian_networks__dd4646b0.pdf,On the Relationship between Sum-Product Networks and Bayesian Networks,"Han Zhao, Mazen Melibari, Pascal Poupart",None,http://proceedings.mlr.press/v37/zhaoc15.pdf
