Conference,Year,Filename,Title,Authors,Category,PDF_URL
NeurIPS,2016,eliciting_categorical_data_for_optimal_aggregation__e8d1f48d.pdf,Eliciting Categorical Data for Optimal Aggregation,"Chien-Ju Ho, Rafael Frongillo, Yiling Chen",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/018b59ce1fd616d874afad0f44ba338d-Paper.pdf
NeurIPS,2016,a_locally_adaptive_normal_distribution__c9a6c2b4.pdf,A Locally Adaptive Normal Distribution,"Georgios Arvanitidis, Lars K. Hansen, Søren Hauberg",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/01931a6925d3de09e5f87419d9d55055-Paper.pdf
NeurIPS,2016,tagger_deep_unsupervised_perceptual_grouping__f79170c7.pdf,Tagger: Deep Unsupervised Perceptual Grouping,"Klaus Greff, Antti Rasmus, Mathias Berglund, Tele Hao, Harri Valpola, Jürgen Schmidhuber",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/01eee509ee2f68dc6014898c309e86bf-Paper.pdf
NeurIPS,2016,online_bayesian_moment_matching_for_topic_modeling_with_unknown_number_of_topics__9f921a15.pdf,Online Bayesian Moment Matching for Topic Modeling with Unknown Number of Topics,"Wei-Shou Hsu, Pascal Poupart",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/0233f3bb964cf325a30f8b1c2ed2da93-Paper.pdf
NeurIPS,2016,conditional_generative_momentmatching_networks__893ca5a0.pdf,Conditional Generative Moment-Matching Networks,"Yong Ren, Jun Zhu, Jialian Li, Yucen Luo",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/0245952ecff55018e2a459517fdb40e3-Paper.pdf
NeurIPS,2016,collaborative_recurrent_autoencoder_recommend_while_learning_to_fill_in_the_blanks__0040e06a.pdf,Collaborative Recurrent Autoencoder: Recommend while Learning to Fill in the Blanks,"Hao Wang, Xingjian SHI, Dit-Yan Yeung",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/0266e33d3f546cb5436a10798e657d97-Paper.pdf
NeurIPS,2016,bayesian_intermittent_demand_forecasting_for_large_inventories__bdb81bbb.pdf,Bayesian Intermittent Demand Forecasting for Large Inventories,"Matthias W. Seeger, David Salinas, Valentin Flunkert",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/03255088ed63354a54e0e5ed957e9008-Paper.pdf
NeurIPS,2016,visual_dynamics_probabilistic_future_frame_synthesis_via_cross_convolutional_networks__e3272b12.pdf,Visual Dynamics: Probabilistic Future Frame Synthesis via Cross Convolutional Networks,"Tianfan Xue, Jiajun Wu, Katherine Bouman, Bill Freeman",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/03afdbd66e7929b125f8597834fa83a4-Paper.pdf
NeurIPS,2016,achieving_budgetoptimality_with_adaptive_schemes_in_crowdsourcing__9a21315c.pdf,Achieving budget-optimality with adaptive schemes in crowdsourcing,"Ashish Khetan, Sewoong Oh",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/03e7ef47cee6fa4ae7567394b99912b7-Paper.pdf
NeurIPS,2016,stochastic_gradient_richardsonromberg_markov_chain_monte_carlo__551cadb9.pdf,Stochastic Gradient Richardson-Romberg Markov Chain Monte Carlo,"Alain Durmus, Umut Simsekli, Eric Moulines, Roland Badeau, Gaël RICHARD",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/03f544613917945245041ea1581df0c2-Paper.pdf
NeurIPS,2016,generating_videos_with_scene_dynamics__e735169c.pdf,Generating Videos with Scene Dynamics,"Carl Vondrick, Hamed Pirsiavash, Antonio Torralba",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/04025959b191f8f9de3f924f0940515f-Paper.pdf
NeurIPS,2016,approximate_maximum_entropy_principles_via_goemanswilliamson_with_applications_to_provable_variational_methods__8ce2a43d.pdf,Approximate maximum entropy principles via Goemans-Williamson with applications to provable variational methods,"Andrej Risteski, Yuanzhi Li",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/046ddf96c233a273fd390c3d0b1a9aa4-Paper.pdf
NeurIPS,2016,convolutional_neural_networks_on_graphs_with_fast_localized_spectral_filtering__b9afa2d8.pdf,Convolutional Neural Networks on Graphs with Fast Localized Spectral Filtering,"Michaël Defferrard, Xavier Bresson, Pierre Vandergheynst",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/04df4d434d481c5bb723be1b6df1ee65-Paper.pdf
NeurIPS,2016,fast_distributed_submodular_cover_publicprivate_data_summarization__37a70ca9.pdf,Fast Distributed Submodular Cover: Public-Private Data Summarization,"Baharan Mirzasoleiman, Morteza Zadimoghaddam, Amin Karbasi",None,https://proceedings.neurips.cc/paper_files/paper/2016/file/052335232b11864986bb2fa20fa38748-Paper.pdf
