Conference,Year,Filename,Title,Authors,Category,PDF_URL
IJCAI,2020,hierarchical_reinforcement_learning_for_pedagogical_policy_induction_extended_abstract__85992049.pdf,Hierarchical Reinforcement Learning for Pedagogical Policy Induction (Extended Abstract),"Guojing Zhou, Hamoon Azizsoltani, Markel Sanz Ausin, Tiffany Barnes, Min Chi",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2020/0647.pdf
IJCAI,2020,vaep_an_objective_approach_to_valuing_ontheball_actions_in_soccer_extended_abstract__7f43fe9c.pdf,VAEP: An Objective Approach to Valuing On-the-Ball Actions in Soccer (Extended Abstract),"Tom Decroos, Lotte Bransen, Jan Van Haaren, Jesse Davis",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2020/0648.pdf
IJCAI,2020,emojipowered_representation_learning_for_crosslingual_sentiment_classification_extended_abstract__dbc22a33.pdf,Emoji-Powered Representation Learning for Cross-Lingual Sentiment Classification (Extended Abstract),"Zhenpeng Chen, Sheng Shen, Ziniu Hu, Xuan Lu, Qiaozhu Mei, Xuanzhe Liu",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2020/0649.pdf
IJCAI,2020,methodological_issues_in_recommender_systems_research_extended_abstract__467fb722.pdf,Methodological Issues in Recommender Systems Research (Extended Abstract),"Maurizio Ferrari Dacrema, Paolo Cremonesi, Dietmar Jannach",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2020/0650.pdf
IJCAI,2020,playing_atari_with_six_neurons_extended_abstract__49d16c5f.pdf,Playing Atari with Six Neurons (Extended Abstract),"Giuseppe Cuccu, Julian Togelius, Philippe Cudré-Mauroux",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2020/0651.pdf
IJCAI,2020,a_formal_approach_for_cautious_reasoning_in_answer_set_programming_extended_abstract__8bacc1a8.pdf,A Formal Approach for Cautious Reasoning in Answer Set Programming (Extended Abstract),"Giovanni Amendola, Carmine Dodaro, Marco Maratea",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2020/0652.pdf
IJCAI,2020,on_the_splitting_property_for_epistemic_logic_programs_extended_abstract__97077288.pdf,On the Splitting Property for Epistemic Logic Programs (Extended Abstract),"Pedro Cabalar, Jorge Fandinno, Luis Fariñas del Cerro",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2020/0653.pdf
IJCAI,2020,statistical_learning_with_a_nuisance_component_extended_abstract__1388fa73.pdf,Statistical Learning with a Nuisance Component (Extended Abstract),"Dylan J. Foster, Vasilis Syrgkanis",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2020/0654.pdf
IJCAI,2020,learning_uri_selection_criteria_to_improve_the_crawling_of_linked_open_data_extended_abstract__62d08359.pdf,Learning URI Selection Criteria to Improve the Crawling of Linked Open Data (Extended Abstract),"Hai Huang, Fabien Gandon",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2020/0655.pdf
IJCAI,2020,human_values_and_digital_patterns_in_physical_exercise_extended_abstract__3ad3e76f.pdf,Human Values and Digital Patterns in Physical Exercise (Extended Abstract),"Yelena Mejova, Kyriaki Kalimeri",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2020/0656.pdf
