Conference,Year,Filename,Title,Authors,Category,PDF_URL
IJCAI,2018,finite_controllability_of_conjunctive_query_answering_with_existential_rules_two_steps_forward__cb80481f.pdf,Finite Controllability of Conjunctive Query Answering with Existential Rules: Two Steps Forward,"Giovanni Amendola, Nicola Leone, Marco Manna",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2018/0719.pdf
IJCAI,2018,weighted_bipolar_argumentation_graphs_axioms_and_semantics__c84ffbd9.pdf,Weighted Bipolar Argumentation Graphs: Axioms and Semantics,"Leila Amgoud, Jonathan Ben-Naim",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2018/0720.pdf
IJCAI,2018,tensorcast_forecasting_timeevolving_networks_with_contextual_information__0a68375b.pdf,TensorCast: Forecasting Time-Evolving Networks with Contextual Information,"Miguel Araújo, Pedro Ribeiro, Christos Faloutsos",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2018/0721.pdf
IJCAI,2018,a_unifying_view_of_geometry_semantics_and_data_association_in_slam__51bcd9e0.pdf,"A Unifying View of Geometry, Semantics, and Data Association in SLAM","Nikolay Atanasov, Sean L. Bowman, Kostas Daniilidis, George J. Pappas",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2018/0722.pdf
IJCAI,2018,reduced_cost_fixing_for_maximum_satisfiability__fade88dd.pdf,Reduced Cost Fixing for Maximum Satisfiability,"Fahiem Bacchus, Antti Hyttinen, Matti Järvisalo, Paul Saikko",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2018/0723.pdf
IJCAI,2018,improving_information_extraction_from_images_with_learned_semantic_models__5029f941.pdf,Improving Information Extraction from Images with Learned Semantic Models,"Stephan Baier, Yunpu Ma, Volker Tresp",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2018/0724.pdf
IJCAI,2018,learning_with_sparse_and_biased_feedback_for_personal_search__9d8ebc9d.pdf,Learning with Sparse and Biased Feedback for Personal Search,"Michael Bendersky, Xuanhui Wang, Marc Najork, Donald Metzler",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2018/0725.pdf
IJCAI,2018,dynamic_dependency_awareness_for_qbf__a87c66b4.pdf,Dynamic Dependency Awareness for QBF,"Joshua Blinkhorn, Olaf Beyersdorff",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2018/0726.pdf
IJCAI,2018,the_finite_model_theory_of_bayesian_networks_descriptive_complexity__77b935c3.pdf,The Finite Model Theory of Bayesian Networks: Descriptive Complexity,"Fabio Gagliardi Cozman, Denis Deratani Mauá",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2018/0727.pdf
IJCAI,2018,combinatorial_cost_sharing__af882a3f.pdf,Combinatorial Cost Sharing,"Shahar Dobzinski, Shahar Ovadia",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2018/0728.pdf
IJCAI,2018,importance_sampling_for_fair_policy_selection__b94b7730.pdf,Importance Sampling for Fair Policy Selection,"Shayan Doroudi, Philip S. Thomas, Emma Brunskill",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2018/0729.pdf
IJCAI,2018,inductive_certificates_of_unsolvability_for_domainindependent_planning__c15f80c7.pdf,Inductive Certificates of Unsolvability for Domain-Independent Planning,"Salomé Eriksson, Gabriele Röger, Malte Helmert",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2018/0730.pdf
IJCAI,2018,reducing_controversy_by_connecting_opposing_views__d3b9cce1.pdf,Reducing Controversy by Connecting Opposing Views,"Kiran Garimella, Gianmarco De Francisci Morales, Aristides Gionis, Michael Mathioudakis",Sister Conferences Best Papers,https://www.ijcai.org/proceedings/2018/0731.pdf
